pair,bl_avg_net,best_V,filtered_avg_net,net_improvement,pct_kept,flag
NATGAS/COPPER,0.0199,1.5,0.0215,0.0016,73.5,robust
NATGAS/BRENT,0.0138,0.75,0.0483,0.0346,36.0,marginal
NATGAS/COFFEE,0.0278,1.25,0.0584,0.0306,52.6,robust
NATGAS/SUGAR,0.0069,none,0.0069,0.0,100.0,marginal
NATGAS/SOYBEANS,-0.0195,0.75,0.0462,0.0657,27.6,over-aggressive
SILVER/COFFEE,0.0308,0.5,0.0519,0.0211,11.4,over-aggressive
WHEAT/BRENT,0.0375,0.5,0.0513,0.0138,16.7,over-aggressive
SOYBEANS/WHEAT,0.0225,0.75,0.0613,0.0389,44.4,marginal
SOYBEANS/PLATINUM,0.0007,0.25,0.0386,0.0379,11.5,over-aggressive
GOLD/NATGAS,-0.0455,none,-0.0455,0.0,100.0,marginal
COPPER/NATGAS,0.0186,0.5,0.0401,0.0214,20.6,over-aggressive
BRENT/NATGAS,0.0048,1.0,0.0278,0.023,57.7,robust
COFFEE/NATGAS,0.0361,0.75,0.1025,0.0664,26.8,over-aggressive
SUGAR/NATGAS,-0.0221,0.5,0.0011,0.0232,19.4,over-aggressive
SOYBEANS/NATGAS,0.0031,0.25,0.0102,0.007,13.9,over-aggressive
COFFEE/SILVER,0.0048,1.0,0.0105,0.0057,50.0,marginal
BRENT/WHEAT,0.0319,1.0,0.0583,0.0264,46.4,marginal
WHEAT/SOYBEANS,0.0188,0.75,0.0585,0.0397,38.2,marginal
PLATINUM/SOYBEANS,0.0027,none,0.0027,0.0,100.0,marginal
NATGAS/GOLD,-0.053,none,-0.053,0.0,100.0,marginal
