lookback,quintile,vel_range,n_trades,win_rate,avg_gross,avg_net,avg_hold,avg_max_ext,avg_days_to_peak
3,Q1,"[-3.98,0.40]",131,63.4,0.0163,-0.0032,159.3,2.997,22.9
3,Q2,"[0.40,0.63]",130,67.7,0.0325,0.0137,152.8,2.834,24.3
3,Q3,"[0.63,0.95]",131,73.3,0.0266,0.009,142.3,2.895,17.7
3,Q4,"[0.95,1.48]",130,69.2,0.0207,0.0031,142.9,3.069,20.3
3,Q5,"[1.49,13.92]",131,82.4,0.0312,0.0204,80.0,4.002,9.2
3,All,[all],680,72.2,0.0251,0.0089,130.4,3.462,18.1
5,Q1,"[-2.74,0.53]",130,65.4,0.0173,-0.0014,152.1,2.959,26.3
5,Q2,"[0.53,0.82]",130,72.3,0.0331,0.0153,144.2,2.75,17.3
5,Q3,"[0.82,1.20]",129,65.9,0.0209,0.0013,160.1,2.96,21.2
5,Q4,"[1.21,1.78]",130,75.4,0.0313,0.015,130.5,3.094,17.3
5,Q5,"[1.78,18.66]",130,77.7,0.0251,0.0128,93.7,3.852,12.7
5,All,[all],680,72.2,0.0251,0.0089,130.4,3.462,18.1
10,Q1,"[-4.87,0.73]",128,69.5,0.0271,0.0082,154.3,2.736,22.4
10,Q2,"[0.73,1.13]",127,67.7,0.0293,0.011,149.0,2.841,23.1
10,Q3,"[1.13,1.55]",127,63.0,0.0179,-0.0011,155.4,2.902,23.9
10,Q4,"[1.56,2.29]",127,75.6,0.0307,0.0147,127.9,3.021,14.7
10,Q5,"[2.30,14.48]",128,79.7,0.023,0.0095,104.4,3.842,12.2
10,All,[all],680,72.2,0.0251,0.0089,130.4,3.462,18.1
