pair,n_trades,median_hold,avg_hold
NATGAS/COPPER,36,93.5,126.4
NATGAS/BRENT,26,91.5,114.7
NATGAS/COFFEE,39,80.0,121.9
NATGAS/SUGAR,35,128.0,144.5
NATGAS/SOYBEANS,31,118.0,151.7
SILVER/COFFEE,46,69.5,97.5
WHEAT/BRENT,31,68.0,98.6
SOYBEANS/WHEAT,38,79.0,111.1
SOYBEANS/PLATINUM,28,116.0,140.8
GOLD/NATGAS,32,204.5,179.4
COPPER/NATGAS,36,97.5,125.1
BRENT/NATGAS,27,105.0,130.1
COFFEE/NATGAS,42,70.0,109.7
SUGAR/NATGAS,33,133.0,168.4
SOYBEANS/NATGAS,38,112.5,133.1
COFFEE/SILVER,37,87.0,126.8
BRENT/WHEAT,29,90.0,112.4
WHEAT/SOYBEANS,36,99.5,122.3
PLATINUM/SOYBEANS,31,81.0,133.5
NATGAS/GOLD,29,196.0,186.9
