pair,n_win,frac_cap_25,frac_cap_50,frac_cap_75,profile_type
NATGAS/COPPER,27,-0.1099,-0.0307,0.1919,back
NATGAS/BRENT,17,-0.0039,-0.0166,0.4418,back
NATGAS/COFFEE,30,0.0527,0.1679,0.2987,back
NATGAS/SUGAR,25,-0.0031,-0.202,-0.3022,back
NATGAS/SOYBEANS,17,-0.153,-0.0697,0.301,back
SILVER/COFFEE,35,0.0305,0.1081,0.1983,back
WHEAT/BRENT,21,0.2457,0.2435,0.4482,back
SOYBEANS/WHEAT,26,0.0092,0.1827,0.2872,back
SOYBEANS/PLATINUM,19,0.0867,-0.0379,0.2859,back
GOLD/NATGAS,17,0.1167,0.0467,0.5538,back
COPPER/NATGAS,27,0.0152,-0.2503,0.2736,back
BRENT/NATGAS,16,0.1205,0.3183,0.386,back
COFFEE/NATGAS,33,-0.0922,0.151,0.239,back
SUGAR/NATGAS,19,-0.1675,-0.1528,0.2751,back
SOYBEANS/NATGAS,18,0.1291,0.0302,0.2242,back
COFFEE/SILVER,26,0.05,-0.019,0.3297,back
BRENT/WHEAT,20,0.0938,0.0834,0.2409,back
WHEAT/SOYBEANS,24,-0.0119,0.2351,0.1965,back
PLATINUM/SOYBEANS,20,0.0139,0.1603,0.3218,back
NATGAS/GOLD,16,0.096,-0.0223,0.2754,back
