is_baseline,peak_min,revert_thresh,n_entered,pct_baseline,pct_no_sig,pct_mh_skip,avg_net,avg_hold_cal,win_rate,avg_peak_sd_entry,total_EV,vs_base_EV,beats_baseline_ev,recommended
False,2.5,1.5,384,0.6586620926243568,0.5133079847908745,0.0,0.005701401179158812,113.26302083333333,0.7109375,3.2313119825557983,2.189338052796984,-3.408487857380883,False,False
False,2.5,2.0,384,0.6586620926243568,0.6920609462710505,0.0,0.00483331404682329,138.265625,0.703125,3.146370976446995,1.8559925939801434,-3.7418333161977233,False,False
False,3.0,1.5,229,0.3927958833619211,0.7491785323110625,0.0,0.0046244091746554935,114.9475982532751,0.6855895196506551,3.6521320527894447,1.058989700996108,-4.538836209181759,False,False
False,3.0,2.0,229,0.3927958833619211,0.8658465143526655,0.0,0.009805000935641782,140.17467248908298,0.6986899563318777,3.6311809936717556,2.245345214261968,-3.3524806959158986,False,False
False,3.0,2.5,229,0.3927958833619211,0.9382749326145553,0.0,0.004377217625651945,157.06113537117903,0.6681222707423581,3.5987801701458064,1.0023828362742955,-4.595443073903571,False,False
False,,1.5,583,1.0,0.0,0.0,0.0023041198096869766,113.90051457975986,0.7118353344768439,2.7372972249048186,1.3433018490475073,-4.254524061130359,False,False
False,,2.0,583,1.0,0.0,0.0,0.003549407679867439,135.85763293310464,0.6963979416809606,2.5386349998397777,2.069304677362717,-3.52852123281515,False,False
False,,2.5,583,1.0,0.0,0.0,0.0061407723097605185,143.24699828473413,0.7135506003430532,2.3612568616281675,3.5800702565903824,-2.0177556535874843,False,True
True,,,583,1.0,,,0.00960175970870989,145.8885077186964,0.7032590051457976,2.0,5.597825910177867,0.0,False,False
