pair,median_hold,time_frac,N_td,avg_improvement
NATGAS/COPPER,83.5,0.1,8,-0.01033
NATGAS/COPPER,83.5,0.2,17,-0.01017
NATGAS/COPPER,83.5,0.3,25,-0.00621
NATGAS/COPPER,83.5,0.4,33,-0.00542
NATGAS/COPPER,83.5,0.5,42,-0.00533
NATGAS/COPPER,83.5,0.6,50,-0.00477
NATGAS/COPPER,83.5,0.7,58,-0.00889
NATGAS/COPPER,83.5,0.8,67,-0.00986
NATGAS/BRENT,73.5,0.1,7,-0.01221
NATGAS/BRENT,73.5,0.2,15,-0.01169
NATGAS/BRENT,73.5,0.3,22,-0.00689
NATGAS/BRENT,73.5,0.4,29,-0.00812
NATGAS/BRENT,73.5,0.5,37,-0.00982
NATGAS/BRENT,73.5,0.6,44,-0.00944
NATGAS/BRENT,73.5,0.7,51,-0.00749
NATGAS/BRENT,73.5,0.8,59,-0.00445
NATGAS/COFFEE,56.0,0.1,6,-0.01379
NATGAS/COFFEE,56.0,0.2,11,-0.01093
NATGAS/COFFEE,56.0,0.3,17,-0.00679
NATGAS/COFFEE,56.0,0.4,22,-0.00517
NATGAS/COFFEE,56.0,0.5,28,-0.00136
NATGAS/COFFEE,56.0,0.6,34,0.00162
NATGAS/COFFEE,56.0,0.7,39,-0.00071
NATGAS/COFFEE,56.0,0.8,45,-0.00022
NATGAS/SUGAR,100.5,0.1,10,-0.00847
NATGAS/SUGAR,100.5,0.2,20,-0.01091
NATGAS/SUGAR,100.5,0.3,30,-0.00528
NATGAS/SUGAR,100.5,0.4,40,-0.00838
NATGAS/SUGAR,100.5,0.5,50,-0.01082
NATGAS/SUGAR,100.5,0.6,60,-0.00838
NATGAS/SUGAR,100.5,0.7,70,-0.00959
NATGAS/SUGAR,100.5,0.8,80,-0.00416
NATGAS/SOYBEANS,109.5,0.1,11,0.01212
NATGAS/SOYBEANS,109.5,0.2,22,0.00344
NATGAS/SOYBEANS,109.5,0.3,33,0.00377
NATGAS/SOYBEANS,109.5,0.4,44,-0.00316
NATGAS/SOYBEANS,109.5,0.5,55,0.00042
NATGAS/SOYBEANS,109.5,0.6,66,-0.00055
NATGAS/SOYBEANS,109.5,0.7,77,-0.00452
NATGAS/SOYBEANS,109.5,0.8,88,-0.00267
SILVER/COFFEE,65.0,0.1,6,-0.01454
SILVER/COFFEE,65.0,0.2,13,-0.0129
SILVER/COFFEE,65.0,0.3,20,-0.01158
SILVER/COFFEE,65.0,0.4,26,-0.01084
SILVER/COFFEE,65.0,0.5,32,-0.01107
SILVER/COFFEE,65.0,0.6,39,-0.01432
SILVER/COFFEE,65.0,0.7,46,-0.01122
SILVER/COFFEE,65.0,0.8,52,-0.0108
WHEAT/BRENT,60.0,0.1,6,-0.01411
WHEAT/BRENT,60.0,0.2,12,-0.01843
WHEAT/BRENT,60.0,0.3,18,-0.02078
WHEAT/BRENT,60.0,0.4,24,-0.01935
WHEAT/BRENT,60.0,0.5,30,-0.02412
WHEAT/BRENT,60.0,0.6,36,-0.02351
WHEAT/BRENT,60.0,0.7,42,-0.02575
WHEAT/BRENT,60.0,0.8,48,-0.0198
SOYBEANS/WHEAT,76.0,0.1,8,-0.00768
SOYBEANS/WHEAT,76.0,0.2,15,-0.00547
SOYBEANS/WHEAT,76.0,0.3,23,-0.00517
SOYBEANS/WHEAT,76.0,0.4,30,-0.00361
SOYBEANS/WHEAT,76.0,0.5,38,-0.00161
SOYBEANS/WHEAT,76.0,0.6,46,-0.00469
SOYBEANS/WHEAT,76.0,0.7,53,-0.0064
SOYBEANS/WHEAT,76.0,0.8,61,-0.00357
SOYBEANS/PLATINUM,67.5,0.1,7,-0.00035
SOYBEANS/PLATINUM,67.5,0.2,14,-0.00203
SOYBEANS/PLATINUM,67.5,0.3,20,0.00196
SOYBEANS/PLATINUM,67.5,0.4,27,0.00349
SOYBEANS/PLATINUM,67.5,0.5,34,0.00183
SOYBEANS/PLATINUM,67.5,0.6,40,0.00363
SOYBEANS/PLATINUM,67.5,0.7,47,0.00281
SOYBEANS/PLATINUM,67.5,0.8,54,0.00425
GOLD/NATGAS,154.5,0.1,15,0.01816
GOLD/NATGAS,154.5,0.2,31,0.01543
GOLD/NATGAS,154.5,0.3,46,0.01299
GOLD/NATGAS,154.5,0.4,62,0.01554
GOLD/NATGAS,154.5,0.5,77,0.01145
GOLD/NATGAS,154.5,0.6,93,0.00827
GOLD/NATGAS,154.5,0.7,108,0.00422
GOLD/NATGAS,154.5,0.8,124,0.00608
COPPER/NATGAS,69.0,0.1,7,-0.01038
COPPER/NATGAS,69.0,0.2,14,-0.00816
COPPER/NATGAS,69.0,0.3,21,-0.01131
COPPER/NATGAS,69.0,0.4,28,-0.0044
COPPER/NATGAS,69.0,0.5,34,-0.00148
COPPER/NATGAS,69.0,0.6,41,-0.00052
COPPER/NATGAS,69.0,0.7,48,-0.00312
COPPER/NATGAS,69.0,0.8,55,-0.00269
BRENT/NATGAS,79.0,0.1,8,-0.00538
BRENT/NATGAS,79.0,0.2,16,-0.00495
BRENT/NATGAS,79.0,0.3,24,-0.0017
BRENT/NATGAS,79.0,0.4,32,-0.00248
BRENT/NATGAS,79.0,0.5,40,-3e-05
BRENT/NATGAS,79.0,0.6,47,0.00289
BRENT/NATGAS,79.0,0.7,55,0.00364
BRENT/NATGAS,79.0,0.8,63,0.00497
COFFEE/NATGAS,50.5,0.1,5,-0.01924
COFFEE/NATGAS,50.5,0.2,10,-0.01604
COFFEE/NATGAS,50.5,0.3,15,-0.0139
COFFEE/NATGAS,50.5,0.4,20,-0.01149
COFFEE/NATGAS,50.5,0.5,25,-0.00795
COFFEE/NATGAS,50.5,0.6,30,-0.00399
COFFEE/NATGAS,50.5,0.7,35,-0.00545
COFFEE/NATGAS,50.5,0.8,40,-0.00535
SUGAR/NATGAS,110.0,0.1,11,0.0046
SUGAR/NATGAS,110.0,0.2,22,-0.00052
SUGAR/NATGAS,110.0,0.3,33,-0.00388
SUGAR/NATGAS,110.0,0.4,44,-0.00602
SUGAR/NATGAS,110.0,0.5,55,-0.00539
SUGAR/NATGAS,110.0,0.6,66,0.00101
SUGAR/NATGAS,110.0,0.7,77,0.001
SUGAR/NATGAS,110.0,0.8,88,0.00108
SOYBEANS/NATGAS,123.0,0.1,12,0.00504
SOYBEANS/NATGAS,123.0,0.2,25,-0.00076
SOYBEANS/NATGAS,123.0,0.3,37,0.0009
SOYBEANS/NATGAS,123.0,0.4,49,-0.0043
SOYBEANS/NATGAS,123.0,0.5,62,-0.0092
SOYBEANS/NATGAS,123.0,0.6,74,-0.01204
SOYBEANS/NATGAS,123.0,0.7,86,-0.00664
SOYBEANS/NATGAS,123.0,0.8,98,-0.00929
COFFEE/SILVER,72.0,0.1,7,-0.0019
COFFEE/SILVER,72.0,0.2,14,0.00103
COFFEE/SILVER,72.0,0.3,22,0.00026
COFFEE/SILVER,72.0,0.4,29,0.00382
COFFEE/SILVER,72.0,0.5,36,0.00352
COFFEE/SILVER,72.0,0.6,43,0.00225
COFFEE/SILVER,72.0,0.7,50,0.005
COFFEE/SILVER,72.0,0.8,58,0.00245
BRENT/WHEAT,75.0,0.1,8,-0.01661
BRENT/WHEAT,75.0,0.2,15,-0.01698
BRENT/WHEAT,75.0,0.3,22,-0.02499
BRENT/WHEAT,75.0,0.4,30,-0.02971
BRENT/WHEAT,75.0,0.5,38,-0.02829
BRENT/WHEAT,75.0,0.6,45,-0.02503
BRENT/WHEAT,75.0,0.7,52,-0.02193
BRENT/WHEAT,75.0,0.8,60,-0.0174
WHEAT/SOYBEANS,78.0,0.1,8,-0.00552
WHEAT/SOYBEANS,78.0,0.2,16,-0.00338
WHEAT/SOYBEANS,78.0,0.3,23,-0.0038
WHEAT/SOYBEANS,78.0,0.4,31,-0.00374
WHEAT/SOYBEANS,78.0,0.5,39,-0.00549
WHEAT/SOYBEANS,78.0,0.6,47,-0.00598
WHEAT/SOYBEANS,78.0,0.7,55,-0.00177
WHEAT/SOYBEANS,78.0,0.8,62,-0.00213
PLATINUM/SOYBEANS,56.0,0.1,6,-0.00265
PLATINUM/SOYBEANS,56.0,0.2,11,-0.00149
PLATINUM/SOYBEANS,56.0,0.3,17,-0.00129
PLATINUM/SOYBEANS,56.0,0.4,22,0.00252
PLATINUM/SOYBEANS,56.0,0.5,28,0.0032
PLATINUM/SOYBEANS,56.0,0.6,34,0.00128
PLATINUM/SOYBEANS,56.0,0.7,39,0.00214
PLATINUM/SOYBEANS,56.0,0.8,45,0.00183
NATGAS/GOLD,156.0,0.1,16,0.01887
NATGAS/GOLD,156.0,0.2,31,0.01715
NATGAS/GOLD,156.0,0.3,47,0.01642
NATGAS/GOLD,156.0,0.4,62,0.01532
NATGAS/GOLD,156.0,0.5,78,0.00895
NATGAS/GOLD,156.0,0.6,94,0.00745
NATGAS/GOLD,156.0,0.7,109,0.00641
NATGAS/GOLD,156.0,0.8,125,0.0041
