pair,bl_n,bl_avg_net,st_n,st_avg_net,st_net_wr,st_avg_hold,n_fired,pct_fired,n_unnecessary,pct_unnecessary,net_improvement
NATGAS/COPPER,36,0.0191,57,0.0083,0.5789,61.8,34,59.6,24,70.6,-0.0109
NATGAS/BRENT,26,0.0139,41,0.0064,0.561,65.0,24,58.5,12,50.0,-0.0075
NATGAS/COFFEE,39,0.027,68,0.0143,0.6176,52.7,48,70.6,21,43.8,-0.0128
NATGAS/SUGAR,35,0.007,57,0.0037,0.5263,75.4,34,59.6,17,50.0,-0.0033
NATGAS/SOYBEANS,31,-0.0177,52,-0.0165,0.4615,76.0,32,61.5,10,31.2,0.0012
SILVER/COFFEE,46,0.0301,70,0.0109,0.6286,50.9,43,61.4,27,62.8,-0.0192
WHEAT/BRENT,31,0.0369,36,0.007,0.6667,64.6,20,55.6,14,70.0,-0.03
SOYBEANS/WHEAT,38,0.022,64,0.0091,0.5469,56.4,39,60.9,17,43.6,-0.0129
SOYBEANS/PLATINUM,28,0.0019,53,-0.0031,0.4906,61.8,34,64.2,15,44.1,-0.005
GOLD/NATGAS,32,-0.0431,55,-0.0213,0.4545,81.5,41,74.5,13,31.7,0.0218
COPPER/NATGAS,36,0.0178,60,0.0088,0.5833,64.1,37,61.7,19,51.4,-0.0091
BRENT/NATGAS,27,0.0053,44,0.0025,0.4091,65.0,29,65.9,12,41.4,-0.0028
COFFEE/NATGAS,42,0.0355,73,0.01,0.5068,50.4,52,71.2,24,46.2,-0.0255
SUGAR/NATGAS,33,-0.0202,60,-0.0119,0.4,71.5,42,70.0,13,31.0,0.0083
SOYBEANS/NATGAS,38,0.0035,63,-0.0011,0.5556,66.5,38,60.3,16,42.1,-0.0045
COFFEE/SILVER,37,0.0053,72,0.0097,0.6389,50.5,48,66.7,18,37.5,0.0044
BRENT/WHEAT,29,0.0318,42,0.004,0.5238,58.8,26,61.9,16,61.5,-0.0278
WHEAT/SOYBEANS,36,0.0185,59,0.0136,0.6102,61.4,34,57.6,13,38.2,-0.0049
PLATINUM/SOYBEANS,31,0.0036,55,0.0056,0.5636,64.5,34,61.8,12,35.3,0.002
NATGAS/GOLD,29,-0.0501,47,-0.0324,0.4681,101.1,31,66.0,11,35.5,0.0177
